death_id,username,player_name,rank,cause_of_death,brute_damage,brain_damage,fire_damage,oxy_damage,tox_damage,clone_damage,stamina_damage,murder_suspect_username,murder_suspect_player_name
93,Seth Donkin,theafilo,Assistant,Blunt-Force Trauma,205,0,0,0,0,0,0,Devin Losey,zanderdowdall

89,Dawson Kopper,dawson1917,Assistant,Blunt-Force Trauma,0,0,0,0,0,0,0,,

87,Dawson Kopper,dawson1917,Assistant,Suffocation,0,0,9,191,0,0,0,,

95,Terra Andedare,mcterra,Cyborg,Blunt-Force Trauma,218,0,0,0,0,0,0,Devin Losey,zanderdowdall

96,Zul the Powerful,theafilo,Assistant,Blunt-Force Trauma,131,0,104,0,4,0,0,Devin Losey,zanderdowdall

114,Minnie Begum,noobean,Head of Personnel,Severe Burns,0,0,217,3,0,0,0,,

108,Jeb Hutton,wondercaz,Quartermaster,Suffocation,0,0,0,200,0,0,0,,

110,Button,turkeydotman,Clown,Severe Burns,0,0,151,59,0,0,0,John Howard,vubzee

113,Steph White,sikekiz,Scientist,Blunt-Force Trauma,28,0,0,0,0,0,0,,

109,John Howard,vubzee,Scientist,Severe Burns,0,0,204,3,2,0,0,,

116,Ubuntu 18.10,mcterra,Cyborg,Blunt-Force Trauma,128,0,43,51,0,0,0,,

121,Magnus Kreamer,maxmozz,Virologist,Suffocation,51,0,5,158,0,0,0,Magnus Kreamer,maxmozz

118,Ubuntu 18.10,mcterra,Cyborg,Severe Burns,0,0,200,3,0,0,0,,

120,Burt Gardner,noobean,Quartermaster,Severe Burns,0,0,214,3,0,0,0,,

115,Ubuntu 18.10,mcterra,Cyborg,Blunt-Force Trauma,200,0,0,0,0,0,0,Dean Wolfgang,christonabike

119,Dean Wolfgang,christonabike,Chief Engineer,Blunt-Force Trauma,256,0,42,0,0,0,0,,

122,Phil Dunnit,toasterroboto,"Shaft Miner 
                Blood",Blunt-Force Trauma,205,0,0,2,0,0,78,Jaxxy Locks,lock1000

117,Ubuntu 18.10,mcterra,Cyborg,Suffocation,0,0,80,130,0,0,37,,

